ColorCombinationID,PrimaryColor,SecondaryColor,AccentColor,Mood,MoodIntensity,Description
105,Blue,Red,Green,Happy,9,Bright colors like yellow are often linked to happiness.
106,Dark Blue,Green,Grey,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
107,Purple,Brown,Black,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
108,Brown,Dark Blue,Red,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
109,Blue,Red,Red,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
110,Silver,Light Blue,Blue,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
111,Dark Blue,Pink,Light Blue,Bold,9,"Strong contrasts create a bold, intense impression."
112,Light Blue,Grey,Pink,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
113,Brown,Beige,Black,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
114,Orange,Black,Blue,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
115,White,Beige,Yellow,Happy,9,Bright colors like yellow are often linked to happiness.
116,Orange,Pink,White,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
117,Blue,Grey,Orange,Energetic,7,Red is vibrant and associated with high energy.
118,Pink,Dark Blue,Yellow,Energetic,7,Red is vibrant and associated with high energy.
119,Brown,Pink,Green,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
120,Yellow,Purple,Pink,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
121,White,Pink,Silver,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
122,Pink,Pink,Brown,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
123,Blue,White,Blue,Energetic,7,Red is vibrant and associated with high energy.
124,White,Silver,Yellow,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
125,Black,Brown,Orange,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
126,Silver,White,Black,Energetic,7,Red is vibrant and associated with high energy.
127,Blue,Black,Brown,Happy,9,Bright colors like yellow are often linked to happiness.
128,Brown,Black,Black,Happy,9,Bright colors like yellow are often linked to happiness.
129,Brown,Purple,Brown,Happy,9,Bright colors like yellow are often linked to happiness.
130,Grey,Green,Pink,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
131,Grey,Light Blue,Purple,Calm,8,Cool colors promote calmness and relaxation.
132,Blue,Beige,Grey,Calm,8,Cool colors promote calmness and relaxation.
133,Brown,Black,Grey,Calm,8,Cool colors promote calmness and relaxation.
134,Brown,Red,Pink,Neutral,5,Neutral tones provide balance without strong mood influence.
135,White,Black,Pink,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
136,Green,Yellow,Yellow,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
137,Brown,Beige,Light Blue,Neutral,5,Neutral tones provide balance without strong mood influence.
138,Light Blue,Red,Blue,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
139,Green,Beige,Dark Blue,Happy,9,Bright colors like yellow are often linked to happiness.
140,Black,Purple,Brown,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
141,Purple,Blue,Green,Calm,8,Cool colors promote calmness and relaxation.
142,Grey,Purple,Dark Blue,Happy,9,Bright colors like yellow are often linked to happiness.
143,Beige,Silver,Light Blue,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
144,Dark Blue,Red,Silver,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
145,Blue,Silver,Orange,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
146,Blue,Black,Blue,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
147,Green,White,Orange,Neutral,5,Neutral tones provide balance without strong mood influence.
148,White,Orange,Purple,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
149,Pink,Yellow,Silver,Neutral,5,Neutral tones provide balance without strong mood influence.
150,Light Blue,Pink,Dark Blue,Calm,8,Cool colors promote calmness and relaxation.
151,Yellow,Grey,Black,Calm,8,Cool colors promote calmness and relaxation.
152,Blue,Purple,Green,Energetic,7,Red is vibrant and associated with high energy.
153,Black,Dark Blue,White,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
154,Brown,Green,Grey,Neutral,5,Neutral tones provide balance without strong mood influence.
155,Black,Red,Pink,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
156,Beige,Light Blue,Orange,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
157,Silver,Yellow,Red,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
158,Silver,Blue,Beige,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
159,Orange,Yellow,Pink,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
160,Purple,White,Green,Neutral,5,Neutral tones provide balance without strong mood influence.
161,Dark Blue,Grey,Pink,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
162,Grey,Yellow,Silver,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
163,Black,Blue,Black,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
164,Red,Red,Light Blue,Energetic,7,Red is vibrant and associated with high energy.
165,White,Black,Blue,Bold,9,"Strong contrasts create a bold, intense impression."
166,Silver,Grey,Brown,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
167,Dark Blue,Silver,Blue,Neutral,5,Neutral tones provide balance without strong mood influence.
168,Green,Brown,Pink,Calm,8,Cool colors promote calmness and relaxation.
169,Blue,Black,Light Blue,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
170,Light Blue,Black,Yellow,Bold,9,"Strong contrasts create a bold, intense impression."
171,Dark Blue,White,Red,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
172,Grey,Brown,White,Energetic,7,Red is vibrant and associated with high energy.
173,Grey,White,Silver,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
174,Yellow,Grey,Red,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
175,Light Blue,Silver,Brown,Neutral,5,Neutral tones provide balance without strong mood influence.
176,Green,Grey,Green,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
177,Green,Grey,Red,Happy,9,Bright colors like yellow are often linked to happiness.
178,Blue,Beige,White,Bold,9,"Strong contrasts create a bold, intense impression."
179,Purple,Silver,Dark Blue,Neutral,5,Neutral tones provide balance without strong mood influence.
180,Pink,Silver,White,Bold,9,"Strong contrasts create a bold, intense impression."
181,Green,Light Blue,Brown,Calm,8,Cool colors promote calmness and relaxation.
182,Silver,White,Red,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
183,Grey,Green,Purple,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
184,Silver,White,Yellow,Bold,9,"Strong contrasts create a bold, intense impression."
185,Grey,Dark Blue,Yellow,Bold,9,"Strong contrasts create a bold, intense impression."
186,Blue,Silver,Pink,Energetic,7,Red is vibrant and associated with high energy.
187,Red,Dark Blue,Silver,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
188,Purple,Silver,Yellow,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
189,Silver,Yellow,Light Blue,Bold,9,"Strong contrasts create a bold, intense impression."
190,Brown,Yellow,Red,Energetic,7,Red is vibrant and associated with high energy.
191,Brown,Red,Brown,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
192,Brown,Orange,Light Blue,Energetic,7,Red is vibrant and associated with high energy.
193,Black,White,Green,Bold,9,"Strong contrasts create a bold, intense impression."
194,Silver,Light Blue,Brown,Energetic,7,Red is vibrant and associated with high energy.
195,White,Light Blue,Dark Blue,Happy,9,Bright colors like yellow are often linked to happiness.
196,Beige,Beige,Orange,Happy,9,Bright colors like yellow are often linked to happiness.
197,Purple,Silver,White,Bold,9,"Strong contrasts create a bold, intense impression."
198,Light Blue,Orange,Green,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
199,Red,Beige,Pink,Energetic,7,Red is vibrant and associated with high energy.
200,Light Blue,Blue,Orange,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
201,White,Green,Light Blue,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
202,Dark Blue,Grey,Dark Blue,Calm,8,Cool colors promote calmness and relaxation.
203,Silver,Black,Light Blue,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
204,Pink,Orange,White,Neutral,5,Neutral tones provide balance without strong mood influence.
205,Grey,Silver,Pink,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
206,Black,Grey,Brown,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
207,Orange,Purple,Silver,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
208,Blue,Brown,Purple,Calm,8,Cool colors promote calmness and relaxation.
209,Pink,Green,Pink,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
210,Yellow,Yellow,Light Blue,Happy,9,Bright colors like yellow are often linked to happiness.
211,Pink,Brown,Dark Blue,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
212,Green,Green,Grey,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
213,Dark Blue,Pink,Brown,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
214,Light Blue,Green,Silver,Happy,9,Bright colors like yellow are often linked to happiness.
215,Black,Grey,Red,Neutral,5,Neutral tones provide balance without strong mood influence.
216,Red,Red,Pink,Bold,9,"Strong contrasts create a bold, intense impression."
217,Brown,White,White,Calm,8,Cool colors promote calmness and relaxation.
218,Grey,Blue,Black,Neutral,5,Neutral tones provide balance without strong mood influence.
219,Silver,Green,Beige,Bold,9,"Strong contrasts create a bold, intense impression."
220,Blue,Purple,Green,Neutral,5,Neutral tones provide balance without strong mood influence.
221,Orange,Black,Black,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
222,Orange,Orange,Brown,Calm,8,Cool colors promote calmness and relaxation.
223,White,Grey,Yellow,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
224,White,Pink,Light Blue,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
225,Orange,Brown,Light Blue,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
226,Orange,Black,Brown,Calm,8,Cool colors promote calmness and relaxation.
227,Purple,Dark Blue,Blue,Happy,9,Bright colors like yellow are often linked to happiness.
228,Grey,Grey,Green,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
229,Brown,Light Blue,Black,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
230,Blue,Black,Light Blue,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
231,Beige,Green,Dark Blue,Neutral,5,Neutral tones provide balance without strong mood influence.
232,Light Blue,Pink,Black,Energetic,7,Red is vibrant and associated with high energy.
233,Beige,Black,Orange,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
234,Orange,Beige,Orange,Bold,9,"Strong contrasts create a bold, intense impression."
235,Yellow,Orange,Beige,Energetic,7,Red is vibrant and associated with high energy.
236,Pink,Red,Yellow,Neutral,5,Neutral tones provide balance without strong mood influence.
237,Light Blue,Light Blue,Orange,Energetic,7,Red is vibrant and associated with high energy.
238,Red,White,Green,Calm,8,Cool colors promote calmness and relaxation.
239,Brown,Purple,Red,Happy,9,Bright colors like yellow are often linked to happiness.
240,Red,Green,Yellow,Bold,9,"Strong contrasts create a bold, intense impression."
241,Orange,Purple,Silver,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
242,Beige,Light Blue,Pink,Neutral,5,Neutral tones provide balance without strong mood influence.
243,Yellow,Red,Beige,Calm,8,Cool colors promote calmness and relaxation.
244,Black,Dark Blue,White,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
245,Beige,Light Blue,Black,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
246,Red,Silver,Blue,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
247,Brown,Pink,Light Blue,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
248,Black,White,White,Calm,8,Cool colors promote calmness and relaxation.
249,Green,Green,Black,Energetic,7,Red is vibrant and associated with high energy.
250,Yellow,White,Light Blue,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
251,Brown,Orange,Orange,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
252,Brown,Blue,Grey,Energetic,7,Red is vibrant and associated with high energy.
253,Yellow,Grey,Beige,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
254,Dark Blue,Beige,Grey,Bold,9,"Strong contrasts create a bold, intense impression."
255,Black,Dark Blue,Pink,Energetic,7,Red is vibrant and associated with high energy.
256,Blue,Red,Black,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
257,Purple,White,Brown,Energetic,7,Red is vibrant and associated with high energy.
258,Red,Grey,Purple,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
259,Green,Beige,Black,Neutral,5,Neutral tones provide balance without strong mood influence.
260,Yellow,Light Blue,Purple,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
261,Red,Dark Blue,Red,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
262,White,Beige,Red,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
263,Pink,Pink,Red,Neutral,5,Neutral tones provide balance without strong mood influence.
264,Beige,Grey,Black,Happy,9,Bright colors like yellow are often linked to happiness.
265,Beige,Grey,White,Bold,9,"Strong contrasts create a bold, intense impression."
266,Dark Blue,Green,Red,Energetic,7,Red is vibrant and associated with high energy.
267,Purple,Red,Beige,Energetic,7,Red is vibrant and associated with high energy.
268,Silver,Green,Black,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
269,Silver,Silver,Light Blue,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
270,Yellow,Beige,Red,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
271,Grey,Beige,Green,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
272,Purple,Yellow,Blue,Neutral,5,Neutral tones provide balance without strong mood influence.
273,Black,Red,White,Calm,8,Cool colors promote calmness and relaxation.
274,Orange,Brown,Light Blue,Neutral,5,Neutral tones provide balance without strong mood influence.
275,Pink,Light Blue,Green,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
276,Red,White,Green,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
277,Yellow,Brown,Yellow,Happy,9,Bright colors like yellow are often linked to happiness.
278,Light Blue,Brown,Light Blue,Happy,9,Bright colors like yellow are often linked to happiness.
279,Beige,Dark Blue,Light Blue,Calm,8,Cool colors promote calmness and relaxation.
280,Brown,Blue,Orange,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
281,Grey,Light Blue,Green,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
282,Silver,Purple,Purple,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
283,Purple,Brown,Yellow,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
284,Light Blue,Silver,Dark Blue,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
285,Red,Green,Red,Energetic,7,Red is vibrant and associated with high energy.
286,Brown,Black,Brown,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
287,Blue,Green,Red,Calm,8,Cool colors promote calmness and relaxation.
288,Silver,Red,Silver,Bold,9,"Strong contrasts create a bold, intense impression."
289,White,Red,Orange,Happy,9,Bright colors like yellow are often linked to happiness.
290,Blue,Blue,White,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
291,Brown,White,Purple,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
292,Dark Blue,Orange,Red,Happy,9,Bright colors like yellow are often linked to happiness.
293,Red,Green,White,Happy,9,Bright colors like yellow are often linked to happiness.
294,Light Blue,Purple,Light Blue,Energetic,7,Red is vibrant and associated with high energy.
295,Light Blue,Silver,Dark Blue,Bold,9,"Strong contrasts create a bold, intense impression."
296,Brown,Grey,Orange,Bold,9,"Strong contrasts create a bold, intense impression."
297,Blue,Dark Blue,White,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
298,Yellow,Black,Purple,Energetic,7,Red is vibrant and associated with high energy.
299,Silver,Light Blue,Yellow,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
300,Orange,Blue,Yellow,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
301,Silver,Red,Light Blue,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
302,Silver,Brown,Silver,Calm,8,Cool colors promote calmness and relaxation.
303,Pink,Brown,Red,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
304,White,Silver,Beige,Bold,9,"Strong contrasts create a bold, intense impression."
305,Orange,Light Blue,Red,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
306,Dark Blue,Black,Yellow,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
307,Beige,Brown,Yellow,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
308,Black,Silver,Orange,Bold,9,"Strong contrasts create a bold, intense impression."
309,Light Blue,Blue,Pink,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
310,Orange,Light Blue,Orange,Happy,9,Bright colors like yellow are often linked to happiness.
311,Green,Silver,Blue,Energetic,7,Red is vibrant and associated with high energy.
312,Dark Blue,Green,Pink,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
313,Brown,Purple,Blue,Happy,9,Bright colors like yellow are often linked to happiness.
314,Pink,Grey,Black,Happy,9,Bright colors like yellow are often linked to happiness.
315,Black,Brown,Purple,Happy,9,Bright colors like yellow are often linked to happiness.
316,Blue,Dark Blue,Dark Blue,Energetic,7,Red is vibrant and associated with high energy.
317,Light Blue,White,Pink,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
318,Green,Silver,Yellow,Bold,9,"Strong contrasts create a bold, intense impression."
319,Yellow,Pink,White,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
320,Purple,Red,Grey,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
321,Yellow,Yellow,Brown,Energetic,7,Red is vibrant and associated with high energy.
322,Dark Blue,Pink,Pink,Neutral,5,Neutral tones provide balance without strong mood influence.
323,Silver,Red,Yellow,Calm,8,Cool colors promote calmness and relaxation.
324,Light Blue,Beige,Green,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
325,Grey,White,White,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
326,Silver,Beige,Red,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
327,Green,Brown,Beige,Happy,9,Bright colors like yellow are often linked to happiness.
328,Red,Beige,Silver,Calm,8,Cool colors promote calmness and relaxation.
329,Grey,Beige,Dark Blue,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
330,White,Silver,Purple,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
331,Beige,Grey,White,Neutral,5,Neutral tones provide balance without strong mood influence.
332,Silver,Black,Yellow,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
333,Beige,Light Blue,Light Blue,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
334,Brown,Silver,Beige,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
335,Dark Blue,Blue,Green,Bold,9,"Strong contrasts create a bold, intense impression."
